departamento_entidad,codigo_departamento_ent,latitud,longitud,oferentes_prom,ind_prom_oferentes,perc_contr_cerrada_num,perc_contr_cerrada_val,HHI_cant,HHI_val,ID_cant,ID_val,ofertas_prom,ind_prom_ofertas,ganadoras,IC4K_cant,IC4K_val,perc_tiempo_adiciones,perc_valor_adiciones,ind_valor_adiciones,ind_riesgo_corrupcion
Amazonas,91,-4.021022226690589,-70.09742132150095,44.833333333333336,94.63073852295409,71.31457423413113,73.97757096238553,50.73588328651038,57.01866346129677,13.99357144840911,37.91584667544079,1.75,97.78481012658227,12.73887361215242,79.46236506128835,84.20371257120101,5.408226908226908,3.1664019317971612,1.571810838656258,43.96455200568332
Antioquia,5,6.425279013663293,-75.55631715344543,29.50392156862745,96.46659621932605,84.11401116107164,84.99055255831935,44.79291801554815,52.77423078229874,7.903329416952409,36.50916084257389,5.6264705882352946,92.87788533134773,12.372153978219211,90.65857652789666,85.15360981112067,7.015730817976528,3.1928358458085664,1.584932708035504,43.0805014551182
Arauca,81,6.8497554000590535,-71.22573017570573,89.45238095238095,89.28714000570288,75.29077147968817,74.68734510240174,55.85240490713631,62.507665714737826,11.482240473617265,46.721418992788294,6.761904761904762,91.44062688366486,11.098088379273195,91.31638232000527,90.09070383170588,0.886153462029557,2.4665749272164064,1.2244147421790033,45.206567150963615
Archipiélago de San Andrés,88,12.5381038363,-81.713987163925,36.22222222222222,95.66200931470392,52.10483026768357,52.55202106015756,70.31973118577989,74.42629058716871,3.469929241578209,38.62309647669064,3,96.20253164556962,3.3201859329046406,80.83445491251682,80.92972032835729,8.667953667953668,0.21522495064789968,0.10683827178744214,43.86463713722422
Atlántico,8,10.892635731212202,-74.82758520535734,110.61616161616162,86.75255549507047,87.78040855226762,89.31675348844055,55.93259033780056,64.07185299336334,10.723688407731808,46.34729923097321,3.955808080808081,94.99264799897712,10.601825647154094,91.818778030669975,91.26894248516454,4.510889417545746,2.429711818222943,1.2061157910317597,46.18282958488325
Bogotá D.C.,11,4.316839851429231,-74.20605366574615,44.58407879433999,94.6605893659473,49.676521761504794,48.99973947606691,71.07404022896016,76.80845416405701,12.326127579205481,54.20403490631411,11.40928662962245,85.55786502579437,5.600597602617642,99.17370619133729,96.59810338665505,5.4534875748052025,0.7399364829869618,0.36730655454596356,44.307622190037286
Bolívar,13,9.644180365010662,-74.97929428874292,70.671875,91.53630239520959,82.47924954965735,82.8311170432001,46.94871154647324,57.414097732951305,8.085971099133278,38.898487559326725,4.833333333333333,93.88185654008439,12.111713898009217,90.26219225517508,87.18585175008813,3.942669646368782,1.200975832101042,0.5961677861879103,43.852684249825764
Boyacá,15,5.6583939060727255,-73.26894147505591,35.44395853579527,95.75521454661134,78.67282995173318,81.17636691552755,52.53633735856806,60.31930135669907,10.280445906496988,43.50801117351655,6.083333333333333,92.29957805907173,10.846201427902907,95.98483547782173,92.22172717832225,5.644769993293301,2.4665335141062066,1.2243941845944397,43.69895625898151
Caldas,17,5.220550389024284,-75.44806663294999,33.48389355742297,95.9899528673745,83.60387648671049,83.30737987946124,51.57434924096687,60.70013233126996,10.238468545390004,46.00017949680136,4.735014005602241,94.00631138531362,9.916975086588607,94.25335124572717,91.00972486818628,4.903961043108657,2.1746952833199136,1.0795248647277076,44.56900771927749
Caquetá,18,1.4582851760539677,-75.48147839385436,82.26190476190476,90.14827487881381,72.73420501318735,71.73185272391808,36.171058794489866,45.80849338335538,6.38797233877599,32.26061622900533,3.9095238095238094,95.05123568414707,16.357730561113506,88.19238935884431,86.31466954352148,1.1684792235947825,1.0017952262017886,0.497293972330402,39.289383079491614
Casanare,85,5.345846525978194,-72.1010191574051,18.761111111111113,97.75316034597472,78.31767176987265,77.50081429214924,53.00657733819637,61.183047387553266,15.985764950016454,44.7936663687679,3.5444444444444443,95.51336146272855,11.950374471888658,95.16482861400894,90.73570972955973,8.335337615478354,3.152568162018842,1.5649437163687547,44.72630995303364
Cauca,19,2.54747810318789,-76.65261777002159,31.397916666666667,96.23977045908184,72.42846903110097,71.69847175179626,31.85028213229944,42.44834814209982,6.470152097412927,33.706324011811816,4.964285714285714,93.71609403254973,16.539129590364762,84.79338143066548,85.28889960323646,3.5514717720730755,0.6990911956447518,0.3470308388486591,39.60841706010017
Cesar,20,9.592030872293032,-73.5260172935598,34.89185049019608,95.8213352706352,85.14621022873385,87.37924314458505,54.867867235455726,62.21462356658672,6.794103764276585,39.432263166787585,4.688419117647059,94.06529225614297,7.394418336842389,93.68759618927925,87.84722428130259,2.3427692969034912,1.3186447927166065,0.6545789897093743,43.74755138059273
Chocó,27,5.957997052488358,-76.80667873976374,42.833333333333336,94.87025948103792,73.20370446668274,75.14576214799325,35.562044711454554,45.53833223838302,2.7448503939961673,31.92291502920979,8.761904761904763,88.90898131404461,7.26841077364705,94.38864114221211,83.382005508944,4.618881554365426,1.0857931427466299,0.5389907747242756,39.87578735623139
Córdoba,23,8.616489114618153,-75.83411219163759,32.96969696969697,96.05153329704228,85.42970571775466,86.95815247714482,48.73556970406208,57.419708514030496,15.299405092377224,43.643730954769914,5.318181818181818,93.26812428078252,15.735657910602711,94.40682024159895,91.40809032563855,1.825670288862921,0.8059145536614911,0.40005825468814793,44.97196323062663
Cundinamarca,25,4.7872311655557915,-74.20563018533217,34.166666666666664,95.90818363273453,79.6173465195366,78.47997335384626,41.73511426896055,52.289552726308294,5.775149318683573,37.39261885964819,7.244047619047619,90.83031946955998,10.62953179707309,90.77222988986256,86.80033545090315,7.305188603799356,3.1913460723126024,1.5841931802754352,41.02957110401511
Guainía,94,3.77709512457875,-67.97496736425,70.91666666666667,91.50698602794411,77.8637655151787,80.53587102375722,34.931188117605146,43.34854976039394,33.97804889158149,43.34854974144578,1.5,98.10126582278481,30.873336324211156,56.94631374308359,68.35278687472581,6.726726726726726,1.0431675250681312,0.5178312980328704,46.68443316720499
Guaviare,95,2.428875756934518,-72.56973121631235,51.94444444444445,93.77910844976712,77.59266672327846,82.97005572183042,61.02865335578169,74.18908844067701,10.170636125294932,55.41751626335228,2.6666666666666665,96.62447257383967,6.053817536879763,91.28838859659855,87.42792547487429,6.256784167534675,1.9646093058255114,0.9752375936900806,45.0257372113927
Huila,41,2.4255165322013035,-75.65944754715522,28.35185185185185,96.60456864049678,93.02163057296784,93.1443944900297,55.49442857404086,62.22748475879995,14.497489759432208,45.30343418037332,5.2592592592592595,93.342709798406,12.853108987691632,93.96553907556932,92.59829682587542,4.215715736984291,4.40487913746911,2.186594412325637,47.08634204226038
La Guajira,44,11.363783820559435,-72.56763401999773,40.140350877192986,95.19277235003676,80.74993267216874,80.02567425433371,59.699606226022134,65.57223745916296,23.29533421370185,48.89628936307912,4.968421052631579,93.71085942704863,13.973973444015083,94.33156846352986,90.52413629960482,2.9494957786347995,1.0778143445414594,0.5350300768190603,44.9850280156635
Magdalena,47,10.336367931433447,-74.31218436005702,35.96666666666667,95.69261477045907,82.5756938696813,84.62355554024566,43.322444760108425,54.824589680914904,8.933927994218548,39.24686153340361,5.3,93.29113924050633,16.329435611392658,90.13975444656293,86.4653986118947,2.6631713108914674,1.4552437135766192,0.7223870788216287,43.53485989686884
Meta,50,3.8843430110359765,-73.5205998076804,82.54861111111111,90.1139387890885,79.21031138957373,81.77922881649111,54.87008682515503,64.47129679468209,10.75336988117818,47.77708530692278,5.208333333333333,93.4071729957806,10.81742193869331,92.85857543065234,92.06311567058322,6.011683395224133,2.9213333727944075,1.4501581156124184,44.65963896429438
Nariño,52,1.365574946367537,-77.54425898466869,32.111111111111114,96.15435795076513,89.53344801613586,89.98675296084745,51.497576192296115,57.53620196143674,12.08276368269796,40.014730340970324,10.333333333333334,86.91983122362869,12.68197654424496,90.54474143233787,87.87324764920648,1.8596312795386356,0.5437710022871681,0.26992945733103474,44.230959953945096
No definido,NA,NaN,NaN,33.9015873015873,95.93992966448056,28.571428571428573,28.571428571428573,81.03174603174602,85.18382304670392,6.666666666666667,58.51470249444343,8.145238095238096,89.68957203134418,1.1904761904761905,100,99.70290526065446,NaN,0.048523712209679506,0.02408730743153712,48.53695464584292
Norte de Santander,54,7.905835870261631,-72.69368809541224,30.875,96.30239520958084,75.6533194163595,74.53157760863792,32.93054374474053,41.80436149717247,7.148732106270131,32.34756920884337,3.3493589743589745,95.76030509574814,15.391084493790391,87.10898634246934,83.9177389025298,5.131728311441763,2.302433227940462,1.1429343402734395,39.911940839869736
Putumayo,86,0.5927408623446774,-76.6221151216732,63.733333333333334,92.36726546906188,78.79729437548494,79.47904354825101,39.24350339162032,48.24405838550728,9.464983680447924,32.31915230290822,2.6,96.70886075949367,18.671406949502508,75.20726595844361,77.81258959330191,5.705487640971512,3.3796538935804734,1.6776697132134357,41.197276186138026
Quindío,63,4.494236277078049,-75.72610857329248,78.73333333333333,90.57085828343313,85.47857333351604,84.8190412628366,49.1581641490729,56.40531424023515,6.400875798023016,41.87375028308082,7.15,90.9493670886076,6.884629646022747,93.23956232940083,90.73890018313354,7.157747826761911,2.0472663253721644,1.0162687710367642,44.182207400293095
Risaralda,66,4.902337171460635,-75.75640172110386,35.369791666666664,95.76409680638723,85.56908492073363,85.51921460194407,55.99744665758109,62.7969769497202,7.046188549031043,43.97662177068783,7.864583333333333,90.04483122362869,6.7896631212442236,93.98920533288562,91.89377010310947,2.8174209874204488,1.1337480360203944,0.562795718833669,44.87279268877244
Santander,68,6.739430937848767,-73.289900471934,29.845652173913045,96.42567039833376,80.70544745721914,82.60747067177364,51.601573207699126,61.204047064458095,13.3939491679869,45.31172793405044,7.05,91.07594936708861,13.774316582965245,93.30575181007625,91.76223125884239,7.249286837515973,3.8951455288617636,1.9335612131001516,45.170653431790264
Sucre,70,9.151320681584012,-75.2369907285873,34.603846153846156,95.85582680792261,89.81042620267897,89.75157790024954,65.22415987894937,70.50741440596794,26.03603577878382,53.174051155577736,3.753846153846154,95.24829600778968,15.983614026799362,95.0165646073897,92.32857200324482,2.7413746430140686,1.3992374180266547,0.6945853959416364,48.52482245210015
Tolima,73,4.3165567980878725,-75.10831879830361,23.584126984126986,97.17555365459557,88.41593080042097,87.20866325052266,60.00437824063217,67.68396525526349,15.890752962140485,50.39864281957431,5.464761904761905,93.08257986739,11.747207507036304,95.30492945144191,93.68918488296165,4.7718185980549785,1.5962490109015328,0.7923825056237638,46.92931460863429
Valle del Cauca,76,3.7513665002041297,-76.41524940365791,38.48850574712644,95.3905981141166,81.69722287393343,81.97446980002003,50.560161450970845,58.336688047299205,9.831777200949741,42.71294421237979,8.413793103448276,89.34962898297687,12.1312622979279,93.27282923707672,92.40085102723599,4.167547294303374,1.9257534767427555,0.9559494506770466,43.969373140803576
Vaupés,97,0.7429413842667424,-70.39447119546136,135.33333333333334,83.79241516966067,70.30688275758935,66.05414261605682,23.685450025880762,30.07605281356257,2.5807735793133033,16.091263171684496,1,98.73417721518987,13.88111260655002,60.65667713473905,63.07061945251317,13.723723723723722,6.303565174561825,3.129107509711786,33.11605709294962
Vichada,99,5.521168184420451,-68.9760447458402,85.11111111111111,89.80705256154357,83.00145680673944,79.8629268224123,51.177700586483994,56.85890389102915,25.53946787952222,41.171232263810055,2.611111111111111,96.69479606188467,21.385778375953343,86.19747950568947,81.16246893423384,3.1048596673596673,0.8951439362747926,0.44435197157537537,45.305146430501004
